"order","JCS","Joincount","Expected","Variance","z.value","pvalue"
"First","Abandoned:Abandoned",32.9828296703297,37.3495575221239,12.2820568541727,-1.24600726476966,0.893619135946308
"First","Continuous:Continuous",65.9220351841776,69.5525442477876,24.0777178477119,-0.73987757568181,0.77031285892661
"First","Never:Never",210.777126174275,173.688053097345,60.7903462903414,4.75695092433201,9.82694623709381e-07
"First","Transformed:Transformed",8.00698691989015,5.85453539823009,1.63043267701264,1.68570643024652,0.0459261788701222
"First","Continuous:Abandoned",106.232831742057,102.176991150442,29.5976390255746,0.745508059400991,0.227982320413349
"First","Never:Abandoned",128.47618700169,161.407079646018,45.9191349997091,-4.85966859855488,0.999999412087942
"First","Never:Continuous",227.954495334349,220.180309734513,55.2531122760993,1.04586717285078,0.147811181184244
"First","Transformed:Abandoned",20.8259807467575,29.716814159292,8.79630777747172,-2.99772827747452,0.998639999661823
"First","Transformed:Continuous",40.9961227946266,40.537610619469,12.5625507625014,0.129363559660458,0.448534990263518
"First","Transformed:Never",62.3254044318479,64.0365044247788,21.7770207400335,-0.366670657346036,0.643067651808788
"Second","Abandoned:Abandoned",52.4623767643015,37.3495575221239,1.83222081690337,11.164944830392,3.02643835397157e-29
"Second","Continuous:Continuous",81.6642855242881,69.5525442477876,3.36083677215265,6.60667396148545,1.96525173562401e-11
"Second","Never:Never",189.829638678554,173.688053097345,7.64611131358834,5.83748644222195,2.64971026983905e-09
"Second","Transformed:Transformed",9.05086500069947,5.85453539823009,0.284221700389772,5.99546594280516,1.01451408834382e-09
"Second","Continuous:Abandoned",98.5499465317424,102.176991150442,4.58287338321497,-1.69427525837708,0.954893505113032
"Second","Never:Abandoned",133.686515888573,161.407079646018,6.80122110067532,-10.629396599718,1
"Second","Never:Continuous",211.385514739619,220.180309734513,8.45451935131132,-3.02469270804004,0.99875557070361
"Second","Transformed:Abandoned",22.9454948901956,29.716814159292,1.43157881788477,-5.65933834936949,0.999999992402115
"Second","Transformed:Continuous",43.5650498933855,40.537610619469,1.95487123934845,2.16529145482769,0.0151826861782986
"Second","Transformed:Never",61.3603120886415,64.0365044247788,3.09497224490769,-1.52120920011396,0.935896326278485
"Third","Abandoned:Abandoned",42.1364458708591,37.3495575221239,1.16355960573628,4.43771063281059,4.54603672773501e-06
"Third","Continuous:Continuous",73.4799610424396,69.5525442477876,2.28044485290138,2.60074160792706,0.00465112449225597
"Third","Never:Never",178.936811678541,173.688053097345,5.75540455542796,2.18785567407808,0.0143400584794004
"Third","Transformed:Transformed",7.08716456692586,5.85453539823009,0.154567111832954,3.1352624030448,0.000858502262129104
"Third","Continuous:Abandoned",106.825105463416,102.176991150442,2.80440937441017,2.77559499190406,0.00275504001986032
"Third","Never:Abandoned",144.033644851222,161.407079646018,4.35009410584826,-8.32983430348797,1
"Third","Never:Continuous",220.998161344419,220.180309734513,5.23503452907607,0.357449535992371,0.360377649225459
"Third","Transformed:Abandoned",24.0066418400022,29.716814159292,0.833639111143157,-6.25403307154827,0.999999999800007
"Third","Transformed:Continuous",41.7253109211472,40.537610619469,1.19034069062195,1.08860726140801,0.138163556630916
"Third","Transformed:Never",65.2707524210277,64.0365044247788,2.06268392506263,0.859381675055373,0.195064988198045
